2016-05-26,(AM),Heavy Traffic:537,Other:148,Mechanical Problem:87,(PM),Heavy Traffic:150,Late return from Field Trip:148,Other:41
2016-06-02,(AM),Heavy Traffic:687,Other:207,Mechanical Problem:102,(PM),Late return from Field Trip:167,Heavy Traffic:158,Other:68
2016-06-09,(AM),Heavy Traffic:408,Other:106,Mechanical Problem:67,(PM),Heavy Traffic:57,Late return from Field Trip:43,Mechanical Problem:38
2016-06-16,(AM),Heavy Traffic:454,Other:111,Mechanical Problem:83,(PM),Heavy Traffic:91,Mechanical Problem:44,Other:36
2016-06-23,(AM),Heavy Traffic:181,Other:60,Mechanical Problem:41,(PM),Heavy Traffic:63,Mechanical Problem-Other:19,Won`t Start:12
2016-06-30,(AM),Heavy Traffic:111,Other:22,Mechanical Problem:14,(PM),Mechanical Problem:9,Other-Heavy Traffic:6,Won`t Start:3
2016-07-07,(AM),Heavy Traffic:437,Other:151,Mechanical Problem:47,(PM),Heavy Traffic:62,Won`t Start:31,Other:22
2016-07-14,(AM),Heavy Traffic:417,Other:110,Mechanical Problem:61,(PM),Heavy Traffic:85,Other:34,Mechanical Problem:28
2016-07-21,(AM),Heavy Traffic:378,Other:92,Mechanical Problem:77,(PM),Heavy Traffic:49,Other:29,Mechanical Problem:21
2016-07-28,(AM),Heavy Traffic:336,Other:99,Mechanical Problem:48,(PM),Heavy Traffic:45,Other:30,Won`t Start:20
2016-08-04,(AM),Heavy Traffic:260,Other:82,Mechanical Problem:41,(PM),Heavy Traffic:57,Other:31,Won`t Start:16
2016-08-11,(AM),Heavy Traffic:101,Other:60,Mechanical Problem:30,(PM),Heavy Traffic:34,Other:17,Won`t Start:10
2016-08-18,(AM),Heavy Traffic:8,Other:2,Mechanical Problem:1,(PM),Heavy Traffic:2,Accident:1
2016-08-25,(AM),Heavy Traffic:7,(PM),Flat Tire:1
2016-09-01,(AM),Heavy Traffic:189,Other:33,Mechanical Problem:17,(PM),Heavy Traffic:10,Mechanical Problem:9,Won`t Start:3
2016-09-08,(AM),Heavy Traffic:1374,Other:191,Mechanical Problem:168,(PM),Heavy Traffic:122,Mechanical Problem:81,Other:47
2016-09-15,(AM),Heavy Traffic:1499,Other:220,Mechanical Problem:142,(PM),Heavy Traffic:123,Other:55,Mechanical Problem:47
2016-09-22,(AM),Heavy Traffic:1516,Other:220,Mechanical Problem:161,(PM),Heavy Traffic:211,Other:64,Mechanical Problem:60
2016-09-29,(AM),Heavy Traffic:724,Other:153,Mechanical Problem:89,(PM),Heavy Traffic:94,Won`t Start:35,Mechanical Problem:34
2016-10-06,(AM),Heavy Traffic:750,Other:134,Mechanical Problem:81,(PM),Heavy Traffic:110,Other:56,Won`t Start:34
2016-10-13,(AM),Heavy Traffic:1176,Other:206,Mechanical Problem:120,(PM),Heavy Traffic:98,Mechanical Problem:56,Other:45
2016-10-20,(AM),Heavy Traffic:1058,Other:186,Mechanical Problem:129,(PM),Heavy Traffic:103,Other:65,Won`t Start:53
2016-10-27,(AM),Heavy Traffic:1133,Other:287,Mechanical Problem:178,(PM),Heavy Traffic:141,Other:95,Won`t Start:53
2016-11-03,(AM),Heavy Traffic:810,Other:201,Mechanical Problem:130,(PM),Heavy Traffic:84,Other:59,Mechanical Problem:38
2016-11-10,(AM),Heavy Traffic:847,Other:179,Mechanical Problem:86,(PM),Heavy Traffic:70,Mechanical Problem:37,Other:30
2016-11-17,(AM),Heavy Traffic:882,Other:166,Mechanical Problem:128,(PM),Heavy Traffic:135,Mechanical Problem:38,Other:35
2016-11-24,(AM),Heavy Traffic:696,Other:120,Mechanical Problem:94,(PM),Heavy Traffic:63,Late return from Field Trip:55,Mechanical Problem:39
2016-12-01,(AM),Heavy Traffic:1178,Other:201,Mechanical Problem:137,(PM),Heavy Traffic:131,Mechanical Problem:59,Other:50
2016-12-08,(AM),Heavy Traffic:1043,Other:148,Mechanical Problem:143,(PM),Heavy Traffic:154,Other:61,Mechanical Problem:59
2016-12-15,(AM),Heavy Traffic:1103,Mechanical Problem:193,Other:176,(PM),Heavy Traffic:157,Mechanical Problem:77,Late return from Field Trip:46
